start_tc,end_tc,start_s,end_s,track_index,track_type,seg_index,material_name,display_name,basename,source_class,speed,volume,scale_x,alpha,extra_refs,material_id,start_us,duration_us
0:20.333,0:22.233,20.333,22.233,1,video,2,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,legend_hf,1.0,1.0,1.4226198060482529,0.78,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,964FC8BC-74A5-482B-A529-71ADA3DD64DC,20333333,1900000
0:21.900,0:23.733,21.9,23.733,20,audio,1,Horror Trailer Opener,Horror Trailer Opener,a5898644c22b97b2956ec62ae85e0cc2.mp3,capcut_stock,1.0,0.17043063044548035,,,speeds:speed,9ED63837-C7B5-467B-9090-944E6731F6D2,21900000,1833333
0:22.233,0:23.733,22.233,23.733,7,video,5,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,legend_still,1.0,1.0,1.076483630952381,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,EEF8B340-5FDE-42EA-BD64-05985F54C49A,22233333,1500000
0:23.567,0:25.067,23.567,25.067,12,text,13,IVAN WATCHES PEOPLE,IVAN WATCHES PEOPLE,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,1929ABE8-20ED-4217-A4E3-5AC09A271049,23566666,1500000
0:23.733,0:29.667,23.733,29.667,0,video,1,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend_still,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,D041D824-17C7-4162-9374-4CB013F0A45E,23733333,5933333
0:23.733,0:26.467,23.733,26.467,1,video,3,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,legend_hf,1.0,1.0,1.391809314028976,0.78,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,3E382E1F-D780-4A17-ACEA-FA4DFC667855,23733333,2733333
0:25.067,0:26.167,25.067,26.167,12,text,14,BEFORE HE BETS,BEFORE HE BETS,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,414424F0-3A28-49FC-A2C2-6782BE4737E3,25066666,1100000
0:26.167,0:29.433,26.167,29.433,20,audio,2,Horror Trailer Opener,Horror Trailer Opener,a5898644c22b97b2956ec62ae85e0cc2.mp3,capcut_stock,1.0,0.17043063044548035,,,speeds:speed,7BDC1C9E-33C7-4712-9FE7-0466E323A482,26166666,3266667
0:26.467,0:29.433,26.467,29.433,1,video,4,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,legend_still,1.0,1.0,1.0062893081761006,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,9549924D-D63C-4913-8343-C81C0B4E9AF4,26466666,2966667
0:29.433,0:30.633,29.433,30.633,12,text,15,AT 11:00AM,AT 11:00AM,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,4D897B6C-6B50-42B9-9211-C647CB3FBC5D,29433333,1200000
0:29.667,1:28.233,29.667,88.233,0,video,2,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend_still,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,AFC29CEC-2493-4BCA-8FB0-DA6847F66F64,29666666,58566667
0:29.667,0:54.500,29.667,54.5,19,audio,2,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.06198146566748619,,,speeds:speed,30EEA3B0-1827-4C61-AE04-C077A45A67A6,29666666,24833334
0:30.433,0:32.933,30.433,32.933,7,video,6,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,legend_still,1.0,1.0,1.1279058779761906,0.63,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,BB6D57F8-5B9F-477D-B320-1606C1462028,30433333,2500000
0:30.633,0:32.933,30.633,32.933,12,text,16,A DAILY CHALLENGE BEGINS,A DAILY CHALLENGE BEGINS,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,1CE94415-A07D-4F56-9B0C-C7A8CA5E3E10,30633333,2300000
0:32.700,0:40.667,32.7,40.667,13,audio,2,Cinematic Whoosh Hit Low 2,Cinematic Whoosh Hit Low 2,ec26041d833dd78bc1a88eb9eca84b71.mp3,capcut_stock,1.0,0.509760320186615,,,speeds:speed,00BEE4D2-AF4C-44DB-8E6C-D8FAB561E3FF,32700000,7966666
0:32.933,0:35.067,32.933,35.067,7,video,7,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,legend_still,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,D2DB4A76-E1CA-47BC-A60C-303E9A6F3CEB,32933333,2133333
0:32.933,0:34.400,32.933,34.4,11,effect,2,Nervous Shaking,Nervous Shaking,,effect,1.0,1.0,,,,F1B045D1-A832-4D82-BA5D-19183FFABFAF,32933333,1466667
0:34.600,0:36.433,34.6,36.433,17,audio,2,Short Whoosh 4,Short Whoosh 4,7e380328c2613f621cbb05b88d1ff84a.mp3,capcut_stock,1.0,0.23088349401950836,,,speeds:speed,ED672B11-BC28-4867-88F1-FC7538823238,34600000,1833333
0:34.767,0:37.533,34.767,37.533,12,text,17,EACH DOUBLE GETS A SECRET CARD,EACH DOUBLE GETS A SECRET CARD,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,88877AB0-F707-460A-B6A2-FF459F1D8583,34766666,2766667
0:34.933,0:46.733,34.933,46.733,8,video,0,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend_still,1.0,1.0,1.0,0.74,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,0A100013-AF42-4093-AEC9-DFADF876D037,34933333,11800000
0:34.967,0:46.733,34.967,46.733,1,video,5,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,legend_hf,1.0,1.0,1.225640033828063,0.77,speeds:speed | transitions:Tremble Zoom | canvases:canvas_color | material_animations:sticker_animation,94CA5144-B298-4291-906E-0DFE58824808,34966666,11766667
0:37.300,0:39.133,37.3,39.133,17,audio,3,Short Whoosh 4,Short Whoosh 4,7e380328c2613f621cbb05b88d1ff84a.mp3,capcut_stock,1.0,0.23088349401950836,,,speeds:speed,B4583BCC-C174-407B-83DF-1BC5028A74BF,37300000,1833333
0:37.667,0:46.733,37.667,46.733,9,video,7,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend_still,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,6D7DEDD3-2BE0-4065-A108-CBF3AFB84EC3,37666666,9066667
0:37.667,0:39.433,37.667,39.433,12,text,18,HOLD TO STAY IN THE FIGHT,HOLD TO STAY IN THE FIGHT,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,35836E28-0822-43DC-B084-98763168E983,37666666,1766667
0:39.433,0:41.267,39.433,41.267,12,text,19,OR FOLD AND SIT OUT,OR FOLD AND SIT OUT,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,3180E64E-2995-4C17-99C8-0D46E7D6EB7D,39433333,1833333
0:41.167,0:43.000,41.167,43.0,17,audio,4,Short Whoosh 4,Short Whoosh 4,7e380328c2613f621cbb05b88d1ff84a.mp3,capcut_stock,1.0,0.23088349401950836,,,speeds:speed,8DBE28A8-EA43-467A-8B80-8A77326565A0,41166666,1833334
0:41.333,0:46.733,41.333,46.733,7,video,8,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend_still,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,F7868EC9-2F84-4BAD-8AB6-85C03DFAEBDD,41333333,5400000
0:41.633,0:43.000,41.633,43.0,12,text,20,HIGHEST CARD REMAINING,HIGHEST CARD REMAINING,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,850A5377-EF55-4192-A937-D20BFEBAE123,41633333,1366667
0:43.000,0:44.267,43.0,44.267,12,text,21,WINS THE SHIELD,WINS THE SHIELD,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,C776A5BB-C2E7-4D0F-B65D-EA73959CBD38,43000000,1266666
0:44.033,0:45.867,44.033,45.867,17,audio,5,Short Whoosh 4,Short Whoosh 4,7e380328c2613f621cbb05b88d1ff84a.mp3,capcut_stock,1.0,0.23088349401950836,,,speeds:speed,45B9FA13-8936-4BEB-AAC0-782A0E133F80,44033333,1833333
0:44.400,0:46.733,44.4,46.733,10,video,2,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend_still,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,51A4BA46-F180-4BBD-903F-945F7F8BD516,44400000,2333333
0:44.467,0:44.767,44.467,44.767,12,text,22,AND IMMUNITY,AND IMMUNITY,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,5A9DBDAE-F478-45DE-B2AC-0957728FBDD1,44466666,300000
0:44.767,0:46.467,44.767,46.467,12,text,23,FROM TONIGHT'S VOTE,FROM TONIGHT'S VOTE,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,E5948D60-34A0-47F7-ADEB-D8619D180604,44766666,1700000
