start_tc,end_tc,start_s,end_s,track_index,display_name,material_name,resolved_filename,basename,source_class,media_kind,speed,volume,scale_x,alpha,extra_refs,path,material_id
0:46.733,0:48.533,46.733,48.533,1,challenge_hold_for_shield.mp4,challenge_hold_for_shield.mp4,challenge_hold_for_shield.mp4,c406a80ddfc5a38972e433384c0022d7.mp4,staged_kit,video,1.0,4.409807205200195,1.0879223096509243,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/c406a80ddfc5a38972e433384c0022d7.mp4,AE47958D-EE0B-4423-8EF6-6AA21F9C87CE
0:48.533,0:49.933,48.533,49.933,1,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,7c36b43951a151e0a994305e8c89b66d.mp4,legend_hf,video,1.0,1.0,1.178197064989518,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/7c36b43951a151e0a994305e8c89b66d.mp4,0D37BAC2-6033-4468-9067-8580E6C01B5F
0:48.533,0:51.933,48.533,51.933,7,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,0519b15d86cbbe1973de2343de748683.PNG,legend_still,photo,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/0519b15d86cbbe1973de2343de748683.PNG,8B974084-9C8F-4C4F-8F5A-4F42D30643B6
0:49.933,0:51.933,49.933,51.933,1,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,8efb9989ea538399c7070db1982374fc.mp4,legend_hf,video,1.69,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/8efb9989ea538399c7070db1982374fc.mp4,8BFA2219-3ED7-4507-9E5B-30714CA9E192
0:51.933,0:54.133,51.933,54.133,1,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,4bc7151bfd1d13a8258434bfd55dac90.mp4,legend_hf,video,1.86,1.0,1.0,1.0,speeds:speed | canvases:canvas_color,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/4bc7151bfd1d13a8258434bfd55dac90.mp4,CFCBB9A6-1911-49BC-942B-C6F7B748D484
0:53.767,0:56.833,53.767,56.833,6,Talk.mp4,Talk.mp4,Talk.mp4,af9ac492765103ae48d1d5445b959e13.mp4,staged_kit,video,1.65,1.0,1.0,0.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/af9ac492765103ae48d1d5445b959e13.mp4,47F43490-46DB-41BB-B91B-D5A8A9576F87
0:53.767,0:58.733,53.767,58.733,7,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,18a30480a58063d6b9f1b2536538a87d.PNG,legend_still,photo,1.0,1.0,1.0,1.0,speeds:speed | common_mask:Split | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/18a30480a58063d6b9f1b2536538a87d.PNG,B47ECE60-8299-4F07-9215-5D586BA67708
0:56.833,0:58.733,56.833,58.733,6,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,18a30480a58063d6b9f1b2536538a87d.PNG,legend_still,photo,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/18a30480a58063d6b9f1b2536538a87d.PNG,CB8B706E-FD58-491E-94DA-4EA4FA76D49A
0:58.733,1:00.033,58.733,60.033,1,Village.mp4,Village.mp4,Village.mp4,08b9fef2c5ba37da62c58f9e301daf4a.mp4,staged_kit,video,1.0,0.0,1.8695225762482648,0.58,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/08b9fef2c5ba37da62c58f9e301daf4a.mp4,3B29700C-C895-4364-AF21-344682D5F950
1:00.033,1:03.067,60.033,63.067,1,ballots.mp4,ballots.mp4,ballots.mp4,b452d102029e70269ba314412fa53371.mp4,staged_kit,video,0.68,1.0,1.0,1.0,speeds:speed | canvases:canvas_color,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/b452d102029e70269ba314412fa53371.mp4,E6A5D321-F076-4136-BC7B-6F2B1FF70FF8
