kind,name,display_name,resolved_filename,resolved_origin,basename,source_class,duration_s,width,height,path,id
video,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,staged_F_phaser,2406c2e2063ede312de176b41ab0a861.mp4,staged_phaser,10.067,1264,720,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/2406c2e2063ede312de176b41ab0a861.mp4,8A21C9EC-E8DE-42F4-9363-F4770995BD65
video,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,46F14F4D-C43F-4978-8837-62804B52D6AF
video,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,AA20AB93-A47B-4554-A89B-CB4EDDC91F60
photo,irene_namecard.png,irene_namecard.png,irene_namecard.png,staged_B_stake,f9b5db0f17c7f4acde3915825f373b21.png,staged_kit,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f9b5db0f17c7f4acde3915825f373b21.png,EFDC87B2-9A77-4CED-B41A-E061C68319A7
photo,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,6D7DEDD3-2BE0-4065-A108-CBF3AFB84EC3
video,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,D126FD63-E4E6-4EE9-8090-57C4723890B2
photo,ivan_namecard.png,ivan_namecard.png,ivan_namecard.png,staged_B_stake,8b5d7d63ad654962b5ad8f6151ae4feb.png,staged_kit,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/8b5d7d63ad654962b5ad8f6151ae4feb.png,BA46BDF9-D6A0-4F69-954D-A6F80A361439
photo,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,51A4BA46-F180-4BBD-903F-945F7F8BD516
audios,Glitching Signal Glitch Futuristic Effect 2,Glitching Signal Glitch Futuristic Effect 2,,,8625df645137a82e2e310890f9471d82.mp3,capcut_stock,3.167,,,/Users/anyaf/Library/Containers/com.lemon.lvoverseas/Data/Movies/CapCut/User Data/Cache/music/8625df645137a82e2e310890f9471d82.mp3,D594992D-895F-4DB6-AA73-DEC76E037482
audios,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,,6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,capcut_stock,7.767,,,/Users/anyaf/Library/Containers/com.lemon.lvoverseas/Data/Movies/CapCut/User Data/Cache/music/6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,1C240FD7-DB25-467B-957F-C309E196E882
audios,Cinematic Whoosh Hit Low 2,Cinematic Whoosh Hit Low 2,,,ec26041d833dd78bc1a88eb9eca84b71.mp3,capcut_stock,7.967,,,/Users/anyaf/Library/Containers/com.lemon.lvoverseas/Data/Movies/CapCut/User Data/Cache/music/ec26041d833dd78bc1a88eb9eca84b71.mp3,00BEE4D2-AF4C-44DB-8E6C-D8FAB561E3FF
audios,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,,6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,capcut_stock,7.767,,,/Users/anyaf/Library/Containers/com.lemon.lvoverseas/Data/Movies/CapCut/User Data/Cache/music/6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,1220FE01-7922-4E83-B6DA-E3A0B2ED6CB6
audios,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,,6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,capcut_stock,7.767,,,/Users/anyaf/Library/Containers/com.lemon.lvoverseas/Data/Movies/CapCut/User Data/Cache/music/6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,AE3882D9-F0C1-4299-8927-F100228B6385
